AppID,Name,Release date,Estimated owners,Peak CCU,Price,Positive,Negative,Genres,Price_USD,Total_Reviews,Pct_Positive,Genre_Utama,Tahun_Rilis,Bulan_Rilis
1215600,The Legend of Eldridge Scrolls: Woop,2020-07-01,0 - 20000,0,0.99,6,1,"Action,Adventure,Indie",0.99,7,85.71,Action,2020,7
1393500,Time Break Chronicles,2020-09-01,50000 - 100000,12,9.74,231,24,"Indie,RPG,Strategy,Early Access",9.74,255,90.59,Indie,2020,9
2137000,Hidden Object Vacation,2022-09-19,0 - 20000,0,2.99,8,0,"Adventure,Casual",2.99,8,100.0,Adventure,2022,9
831060,Black Jack Story,2018-04-25,20000 - 50000,0,0.49,55,25,"Adventure,Casual,Indie",0.49,80,68.75,Adventure,2018,4
1803640,ONE WAY,2022-02-18,0 - 20000,0,0.99,8,0,"Action,Adventure,Casual,Indie,Simulation",0.99,8,100.0,Action,2022,2
3460520,Game Room,2025-07-18,0 - 20000,0,1.99,0,0,"Action,Casual,Indie,Sports",1.99,0,0.0,Action,2025,7
1198260,Beneath steel clouds,2020-01-10,0 - 20000,2,0.0,0,0,"Adventure,Casual,RPG,Simulation",0.0,0,0.0,Adventure,2020,1
1037020,ScourgeBringer,2020-10-21,200000 - 500000,24,3.39,2614,381,"Action,Adventure,Indie",3.39,2995,87.28,Action,2020,10
2329130,Rewind Or Die,2023-04-14,20000 - 50000,1,8.39,350,23,"Action,Adventure,Indie,Simulation",8.39,373,93.83,Action,2023,4
3415570,Die For The Lich,2025-11-10,0 - 20000,0,7.99,0,0,"Adventure,RPG,Strategy,Early Access",7.99,0,0.0,Adventure,2025,11
11370,Nikopol: Secrets of the Immortals,2009-07-30,0 - 0,0,0.99,0,0,"Adventure,Indie",0.99,0,0.0,Adventure,2009,7
2472390,A Technician's Nightmare,2024-01-01,0 - 20000,0,1.29,129,33,"Indie,Simulation",1.29,162,79.63,Indie,2024,1
302870,Stained,2014-07-10,0 - 20000,0,1.99,13,14,"Action,Adventure,Indie",1.99,27,48.15,Action,2014,7
1492650,Crooks Like Us,2022-04-06,0 - 20000,0,4.99,16,2,"Action,Casual,Indie",4.99,18,88.89,Action,2022,4
1975570,Cricket Captain 2022,2022-06-12,0 - 20000,12,8.99,34,19,"Simulation,Sports,Strategy",8.99,53,64.15,Simulation,2022,6
2276840,Quiz Quest,2025-09-18,0 - 20000,0,3.99,0,0,"Adventure,Casual,Indie,RPG",3.99,0,0.0,Adventure,2025,9
870100,乌鸦 - Crows,2018-10-26,20000 - 50000,0,0.49,28,41,Indie,0.49,69,40.58,Indie,2018,10
2286440,Puzzle Playing Cards,2025-02-08,0 - 20000,0,2.99,6,0,"Action,Casual,Strategy",2.99,6,100.0,Action,2025,2
678900,Farmer's Dynasty,2019-11-21,200000 - 500000,31,3.99,3038,1003,"Adventure,Casual,RPG,Simulation",3.99,4041,75.18,Adventure,2019,11
3500,Mystery P.I.™ - The Lottery Ticket,2007-10-16,20000 - 50000,3,0.99,54,11,Casual,0.99,65,83.08,Casual,2007,10
3079270,Space Tourist,2025-04-07,0 - 20000,0,2.99,9,0,"Adventure,Casual,Simulation",2.99,9,100.0,Adventure,2025,4
727070,Hex,2017-11-06,20000 - 50000,0,3.99,45,7,Indie,3.99,52,86.54,Indie,2017,11
